B1200	Кнопка климат-контроля отказ цепи
B1201	Датчик уровня топлива отказ цепи
B1202	Датчик уровня топлива обрыв цепи
B1203	Датчик уровня топлива КЗ цепи на питание
B1204	Датчик уровня топлива КЗ цепи на массу
B1205	Блок переключателей EIC-1 отказ цепи
B1206	Блок переключателей EIC-1 обрыв цепи
B1207	Блок переключателей EIC-1 КЗ цепи на питание
B1208	Блок переключателей EIC-1 КЗ цепи на массу
B1209	Блок переключателей EIC-2 отказ цепи
B1210	Блок переключателей EIC-2 обрыв цепи
B1211	Блок переключателей EIC-2 КЗ цепи на питание
B1212	Блок переключателей EIC-2 КЗ цепи на массу
B1213	Число запрограммированных ключей иммобилайзера ниже минимума
B1214	Подножка лампа отказ цепи
B1215	Подножка лампа КЗ цепи на питание
B1216	Экстренная/дорожная помощь выключатель КЗ цепи на массу
B1217	Клаксон обмотка реле отказ цепи
B1218	Клаксон обмотка реле цепь КЗ на питание АКБ
B1219	Топливо Tank датчик давления отказ цепи
B1220	Топливо Tank датчик давления обрыв цепи
B1222	Топливо датчик температуры # 1 отказ цепи
B1223	Топливо датчик температуры # 1 обрыв цепи
B1224	Топливо датчик температуры # 1 КЗ цепи на питание
B1225	Топливо датчик температуры # 1 КЗ цепи на массу
B1226	Топливо датчик температуры # 2 отказ цепи
B1227	Топливо датчик температуры # 2 обрыв цепи
B1228	Топливо датчик температуры # 2 КЗ цепи на питание
B1229	Топливо датчик температуры # 2 КЗ цепи на массу
B1231	Превышен порог продольного ускорения
B1232	См. документацию производителя
B1233	Датчик разбития стекла отказ
B1234	Зеркало выключатель неверный Code
B1235	Стекло обратная связь отказ
B1236	Стекло обратная связь Loss сигнал
B1237	Стекло обратная связь вне диапазона
B1238	Over температура неисправность
B1239	Заслонка смешивания потока воздуха водителя отказ цепи
B1240	Омыватель стеклоочистителя задний насос реле отказ цепи
B1241	Омыватель стеклоочистителя задний насос реле КЗ цепи на питание
B1242	Заслонка рециркуляции воздуха водителя отказ цепи
B1243	Быстрое опускание стекла выключатель КЗ цепи на питание
B1244	Стеклоочиститель задний электродвигатель Run реле отказ цепи
B1245	Стеклоочиститель задний электродвигатель Run реле КЗ цепи на питание
B1246	Диммер панели потенциометр выключатель отказ цепи
B1247	Диммер панели выключатель обрыв цепи
B1249	Заслонка смешивания отказ
B1250	Воздух температура Internal датчик отказ цепи
B1251	Воздух температура Internal датчик обрыв цепи
B1252	Воздух температура Internal датчик КЗ цепи на питание
B1253	Воздух температура Internal датчик КЗ цепи на массу
B1254	Воздух температура External датчик отказ цепи
B1255	Воздух температура External датчик обрыв цепи
B1256	Воздух температура External датчик КЗ цепи на питание
B1257	Воздух температура External датчик КЗ цепи на массу
B1258	Датчик солнечного излучения отказ цепи
B1259	Датчик солнечного излучения обрыв цепи
B1260	Датчик солнечного излучения КЗ цепи на питание
B1261	Датчик солнечного излучения КЗ цепи на массу
B1262	Серводвигатель обдув стекла отказ цепи
B1263	Серводвигатель обдув отказ цепи
B1264	Серводвигатель в ноги отказ цепи
B1265	Серводвигатель холодный воздух байпас отказ цепи
B1266	Серводвигатель Airintake левый отказ цепи
B1267	Серводвигатель Airintake правый отказ цепи
B1268	Серводвигатель потенциометр обдув стекла отказ цепи
B1269	Серводвигатель потенциометр обдув стекла обрыв цепи
B1270	Серводвигатель потенциометр обдув стекла КЗ цепи на питание
B1271	Серводвигатель потенциометр обдув стекла КЗ цепи на массу
B1272	Серводвигатель потенциометр обдув отказ цепи
B1273	Серводвигатель потенциометр обдув обрыв цепи
B1274	Серводвигатель потенциометр обдув КЗ цепи на питание
B1275	Серводвигатель потенциометр обдув КЗ цепи на массу
B1276	Серводвигатель потенциометр в ноги отказ цепи
B1277	Серводвигатель потенциометр в ноги обрыв цепи
B1278	Серводвигатель потенциометр в ноги КЗ цепи на питание
B1279	Серводвигатель потенциометр в ноги КЗ цепи на массу
B1280	Серводвигатель потенциометр холодный воздух отказ цепи
